id	op	line	verdict	rc	failing_tests	killed_by	mutated_line
batch-status-not-accumulated	text	1059	KILLED	1	80	row 1  cuda not-triggered on a diff touching src/cuda/            RED  B1	    RC=$RC
book-examples-back-out-of-scope	text	213	KILLED	1	3	the shipped surface B4 scans matches its case table, both polarities	    book/*.md) case "$1" in */examples/*) return 1 ;; esac; return 0 ;;
book-removed-from-b4-scope	text	213	KILLED	1	5	row 16 the diff publishes a ratio, nothing records it           RED  B4	    book/*.md) return 1 ;;
comparative-competitor-list-matches-everything	text	113	KILLED	1	2	S3.C.1 comparative-claim detection matches its case table, both polarities	COMPETITOR_RE='(.)'
comparative-competitor-list-never-matches	text	113	KILLED	1	7	row 16 the diff publishes a ratio, nothing records it           RED  B4	COMPETITOR_RE='(^$)'
comparative-gap-bound-unbounded	text	112	KILLED	1	2	S3.C.1 comparative-claim detection matches its case table, both polarities	RATIO_GAP_RE='(([A-Za-z]+([.-][A-Za-z]+)*|[A-Za-z]{1,3}\.)[[:space:]]+){0,99}'
comparative-left-boundary-dropped	text	110	KILLED	1	1	S3.C.1 comparative-claim detection matches its case table, both polarities	RATIO_LEFT_RE='(^|.)'
comparative-mult-sign-ascii-only	text	111	KILLED	1	3	row 16 the diff publishes a ratio, nothing records it           RED  B4	MULT_RE='(x)'
comparative-predicate-verdict-not-propagated	text	258	KILLED	1	2	S3.C.1 comparative-claim detection matches its case table, both polarities	  --match-comparative) match_comparative  "${2?--match-comparative needs an argument}"; exit 1 ;;
comparator-misclassified-B1	text	849	KILLED	1	1	row 4  comparative claim with no comparator command or hash       RED  B4	    reject B1 "$claim" || return 1
control-1-unarmed	text	1014	KILLED	1	1	S6.1 the schema-depth control is measured against the VENDORED schema	run_control schema-invalid B1 "fails schemas/in-toto-statement-v1.json" "$PC1" || true
control-2-unarmed	text	1038	KILLED	1	3	S6.1 a control rejected under the wrong CLASS is a MISFIRE, not a pass	seeded_control self-review     self-review     B2 "reviewer_actor.id ="        || true
control-3-unarmed	text	1039	KILLED	1	2	S6.1 a control rejected under the right class but the wrong BRANCH is a MISFIRE	seeded_control findings-digest findings-digest B1 "findings_ref.sha256"        || true
control-4-unarmed	text	1040	KILLED	1	1	S6.1 EVERY control stops the run when it misfires, not just the first	seeded_control cost-missing    cost-missing    B1 "predicate.cost must carry"  || true
control-acceptance-ignored	text	969	KILLED	1	1	S6.1 a positive control that is ACCEPTED fails the whole run	  if validate_receipt "$dir" && false; then
control-class-unasserted	text	978	KILLED	1	1	S6.1 a control rejected under the wrong CLASS is a MISFIRE, not a pass	  if false; then
control-fixture-absence-ignored	text	1022	KILLED	1	1	S6.1 the guard refuses to run at all when a positive-control fixture is gone	  if false; then
control-reason-unasserted	text	989	KILLED	1	3	S6.1 a control rejected under the right class but the wrong BRANCH is a MISFIRE	    *) ;;
crux-surface-predicate-verdict-not-propagated	text	260	KILLED	1	1	S3.C surface trigger matches its case table, both polarities	  --match-crux-surface)    match_crux_surface    "${2?--match-crux-surface needs an argument}";    exit 1 ;;
crux-surface-regex-matches-everything	text	136	KILLED	1	17	S6.1 all four positive controls fire before anything is validated	CRUX_SURFACE_RE='(.)'
crux-surface-regex-never-matches	text	136	KILLED	1	1	S3.C surface trigger matches its case table, both polarities	CRUX_SURFACE_RE='(^$)'
cuda-message-regex-matches-everything	text	70	KILLED	1	21	S6.1 all four positive controls fire before anything is validated	CUDA_MSG_RE='(.)'
cuda-message-regex-never-matches	text	70	KILLED	1	1	S3.B CUDA message trigger matches its case table, both polarities	CUDA_MSG_RE='(^$)'
cuda-path-regex-matches-everything	text	60	KILLED	1	21	S6.1 all four positive controls fire before anything is validated	CUDA_PATH_RE='(.)'
cuda-path-regex-never-matches	text	60	KILLED	1	2	row 1  cuda not-triggered on a diff touching src/cuda/            RED  B1	CUDA_PATH_RE='(^$)'
docs-prose-back-in-b4-scope	text	229	KILLED	1	3	the shipped surface B4 scans matches its case table, both polarities	    crates/*/src/*.rs|src/*.rs|docs/*.md) return 0 ;;
final-status-always-zero	text	1062	KILLED	1	80	row 1  cuda not-triggered on a diff touching src/cuda/            RED  B1	exit 0
message-predicate-verdict-not-propagated	text	257	KILLED	1	1	S3.B CUDA message trigger matches its case table, both polarities	  --match-message)     match_cuda_message "${2?--match-message needs an argument}";     exit 1 ;;
mutation-trigger-predicate-verdict-not-propagated	text	261	KILLED	1	1	S3.D mutation trigger matches its case table, both polarities	  --match-mutation-trigger) match_mutation_trigger "${2?--match-mutation-trigger needs an argument}"; exit 1 ;;
mutation-trigger-regex-matches-everything	text	142	KILLED	1	18	S6.1 all four positive controls fire before anything is validated	MUTATION_TRIGGER_RE='(.)'
mutation-trigger-regex-never-matches	text	142	KILLED	1	2	row 20 mutation not-triggered on a diff changing Rust source   RED  B1	MUTATION_TRIGGER_RE='(^$)'
path-predicate-verdict-not-propagated	text	256	KILLED	1	1	S3.B CUDA path trigger matches its case table, both polarities	  --match-path)        match_cuda_path    "${2?--match-path needs an argument}";        exit 1 ;;
reject-01-drop	drop	347	KILLED	1	1	a receipt directory that does not exist is RED, not skipped	  [ -d "$dir" ]   || true B1 "no such receipt directory: $dir" || return 1
reject-01-flip	flip	347	KILLED	1	96	S6.1 all four positive controls fire before anything is validated	  [ -d "$dir" ]   || reject B1 "no such receipt directory: $dir" && return 1
reject-02-drop	drop	348	KILLED	1	2	a missing receipt is RED, not skipped	  [ -f "$rcpt" ]  || true B1 "receipt.intoto.jsonl is missing - a missing receipt is RED, not skipped, per S6.3" || return 1
reject-02-flip	flip	348	KILLED	1	96	S6.1 all four positive controls fire before anything is validated	  [ -f "$rcpt" ]  || reject B1 "receipt.intoto.jsonl is missing - a missing receipt is RED, not skipped, per S6.3" && return 1
reject-03-drop	drop	349	KILLED	1	1	probe findings.sarif absent                                     RED  B1	  [ -f "$sarif" ] || true B1 "findings.sarif is missing" || return 1
reject-03-flip	flip	349	KILLED	1	96	S6.1 all four positive controls fire before anything is validated	  [ -f "$sarif" ] || reject B1 "findings.sarif is missing" && return 1
reject-04-drop	drop	363	KILLED	1	1	probe receipt holding two JSON records is not JSON Lines        RED  B1	    true B1 "receipt.intoto.jsonl holds $records JSON record/s; the in-toto Statement must be exactly one" || return 1
reject-04-flip	flip	363	KILLED	1	1	probe receipt holding two JSON records is not JSON Lines        RED  B1	    reject B1 "receipt.intoto.jsonl holds $records JSON record/s; the in-toto Statement must be exactly one" && return 1
reject-05-drop	drop	365	KILLED	1	1	probe receipt that is not parseable JSON                        RED  B1	  jq -e . "$rcpt"  >/dev/null 2>&1 || true B1 "receipt.intoto.jsonl is not parseable JSON" || return 1
reject-05-flip	flip	365	KILLED	1	96	S6.1 all four positive controls fire before anything is validated	  jq -e . "$rcpt"  >/dev/null 2>&1 || reject B1 "receipt.intoto.jsonl is not parseable JSON" && return 1
reject-06-drop	drop	366	KILLED	1	1	probe findings.sarif that is not parseable JSON                 RED  B1	  jq -e . "$sarif" >/dev/null 2>&1 || true B1 "findings.sarif is not parseable JSON" || return 1
reject-06-flip	flip	366	KILLED	1	96	S6.1 all four positive controls fire before anything is validated	  jq -e . "$sarif" >/dev/null 2>&1 || reject B1 "findings.sarif is not parseable JSON" && return 1
reject-07-drop	drop	371	KILLED	1	95	S6.1 all four positive controls fire before anything is validated	    true B1 "receipt fails schemas/in-toto-statement-v1.json: $(printf '%s' "$sout" | tr '\n' ' ' | cut -c1-220)" || return 1
